Milwaukee Bucks,F,34,"Antetokounmpo, Giannis",6 ft 11 in (2.11 m),242 lb (110 kg),1994-12-06,Greece
Milwaukee Bucks,F,43,"Antetokounmpo, Thanasis",6 ft 6 in (1.98 m),219 lb (99 kg),1992-07-18,Greece
Milwaukee Bucks,G/F,95,"Bembry, DeAndre'",6 ft 5 in (1.96 m),210 lb (95 kg),1994-07-04,Saint Joseph's
Milwaukee Bucks,G,5,"Carter, Jevon",6 ft 1 in (1.85 m),200 lb (91 kg),1995-09-14,West Virginia
Milwaukee Bucks,G,24,"Connaughton, Pat ",6 ft 5 in (1.96 m),209 lb (95 kg),1993-01-06,Notre Dame
Milwaukee Bucks,G,3,"Hill, George ",6 ft 4 in (1.93 m),188 lb (85 kg),1986-05-04,IUPUI
Milwaukee Bucks,G,21,"Holiday, Jrue",6 ft 3 in (1.91 m),205 lb (93 kg),1990-06-12,UCLA
Milwaukee Bucks,F,25,"Ibaka, Serge",6 ft 10 in (2.08 m),235 lb (107 kg),1989-09-18,Republic of the Congo
Milwaukee Bucks,C,11,"Lopez, Brook ",7 ft 0 in (2.13 m),282 lb (128 kg),1988-04-01,Stanford
Milwaukee Bucks,F/C,54,"Mamukelashvili, Sandro (TW)",6 ft 9 in (2.06 m),240 lb (109 kg),1999-05-23,Seton Hall
Milwaukee Bucks,G,23,"Matthews, Wesley",6 ft 4 in (1.93 m),220 lb (100 kg),1986-10-14,Marquette
Milwaukee Bucks,F,22,"Middleton, Khris",6 ft 7 in (2.01 m),222 lb (101 kg),1991-08-12,Texas A&M
Milwaukee Bucks,F,13,"Nwora, Jordan",6 ft 8 in (2.03 m),225 lb (102 kg),1998-09-09,Louisville
Milwaukee Bucks,F,9,"Portis, Bobby",6 ft 10 in (2.08 m),250 lb (113 kg),1995-02-10,Arkansas
Milwaukee Bucks,G,28,"Wigginton, Lindell (TW)",6 ft 1 in (1.85 m),189 lb (86 kg),1998-03-28,Iowa State
Atlanta Hawks,G,13,"Bogdanović, Bogdan",6 ft 6 in (1.98 m),225 lb (102 kg),1992-08-18,Serbia
Atlanta Hawks,C,15,"Capela, Clint",6 ft 10 in (2.08 m),256 lb (116 kg),1994-05-18,Switzerland
Atlanta Hawks,F/C,20,"Collins, John ",6 ft 9 in (2.06 m),226 lb (103 kg),1997-09-23,Wake Forest
Atlanta Hawks,G,2,"Cooper, Sharife (TW)",6 ft 1 in (1.85 m),176 lb (80 kg),2001-06-11,Auburn
Atlanta Hawks,C,10,"Dieng, Gorgui",6 ft 10 in (2.08 m),248 lb (112 kg),1990-01-18,Louisville
Atlanta Hawks,F,8,"Gallinari, Danilo",6 ft 10 in (2.08 m),236 lb (107 kg),1988-08-08,Italy
Atlanta Hawks,G/F,3,"Huerter, Kevin",6 ft 7 in (2.01 m),198 lb (90 kg),1998-08-27,Maryland
Atlanta Hawks,G/F,12,"Hunter, De'Andre",6 ft 8 in (2.03 m),221 lb (100 kg),1997-12-02,Virginia
Atlanta Hawks,F,1,"Johnson, Jalen",6 ft 8 in (2.03 m),219 lb (99 kg),2001-12-18,Duke
Atlanta Hawks,F,5,"Knox, Kevin",6 ft 7 in (2.01 m),215 lb (98 kg),1999-08-11,Kentucky
Atlanta Hawks,G/F,7,"Luwawu-Cabarrot, Timothé",6 ft 7 in (2.01 m),215 lb (98 kg),1995-05-09,France
Atlanta Hawks,G,4,"Mays, Skylar (TW)",6 ft 4 in (1.93 m),205 lb (93 kg),1997-09-05,LSU
Atlanta Hawks,F/C,17,"Okongwu, Onyeka",6 ft 8 in (2.03 m),240 lb (109 kg),2000-12-11,Southern California
Atlanta Hawks,G,6,"Williams, Lou",6 ft 2 in (1.88 m),175 lb (79 kg),1986-10-27,South Gwinnett HS (GA)
Atlanta Hawks,G,0,"Wright, Delon",6 ft 5 in (1.96 m),185 lb (84 kg),1992-04-26,Utah
Atlanta Hawks,G,11,"Young, Trae",6 ft 1 in (1.85 m),164 lb (74 kg),1998-09-19,Oklahoma
Charlotte Hornets,G,2,"Ball, LaMelo",6 ft 7 in (2.01 m),180 lb (82 kg),2001-08-22,SPIRE Academy (OH)
Charlotte Hornets,G,5,"Bouknight, James",6 ft 4 in (1.93 m),190 lb (86 kg),2000-09-18,Connecticut
Charlotte Hornets,F,0,"Bridges, Miles",6 ft 7 in (2.01 m),225 lb (102 kg),1998-03-21,Michigan State
Charlotte Hornets,F/C,8,"Harrell, Montrezl",6 ft 7 in (2.01 m),240 lb (109 kg),1994-01-26,Louisville
Charlotte Hornets,F,20,"Hayward, Gordon ",6 ft 7 in (2.01 m),225 lb (102 kg),1990-03-23,Butler
Charlotte Hornets,F/C,23,"Jones, Kai",6 ft 10 in (2.08 m),221 lb (100 kg),2001-01-19,Texas
